"","EVTYPE","n"
"1","HAIL",233760
"2","TSTM WIND",219942
"3","TORNADO",54640
"4","FLASH FLOOD",40262
"5","THUNDERSTORM WINDS",20843
"6","THUNDERSTORM WIND",20189
"7","FLOOD",15842
"8","LIGHTNING",12943
"9","HIGH WIND",12086
"10","HEAVY SNOW",11418
"11","HEAVY RAIN",7986
"12","WINTER STORM",6527
"13","MARINE TSTM WIND",6175
"14","FUNNEL CLOUD",5063
"15","URBAN SML STREAM FLD",3392
"16","WATERSPOUT",3049
"17","WINTER WEATHER",2342
"18","STRONG WIND",1701
"19","DROUGHT",1568
"20","ICE STORM",1545
"21","HIGH WINDS",1533
"22","WILD FOREST FIRE",1457
"23","BLIZZARD",1353
"24","WILDFIRE",1337
"25","EXCESSIVE HEAT",1249
"26","WINTER WEATHER MIX",1110
"27","TSTM WIND HAIL",1028
"28","MARINE THUNDERSTORM WIND",997
"29","DENSE FOG",764
"30","FROST FREEZE",753
"31","FLASH FLOODING",682
"32","EXTREME COLD",657
"33","FLOOD FLASH FLOOD",626
"34","SNOW",617
"35","FOG",538
"36","HIGH SURF",481
"37","EXTREME COLD WIND CHILL",429
"38","TROPICAL STORM",387
"39","LANDSLIDE",375
"40","WIND",346
"41","COASTAL FLOOD",339
"42","RIP CURRENTS",304
"43","MARINE HAIL",295
"44","DUST STORM",292
"45","RIP CURRENT",288
"46","AVALANCHE",283
"47","STORM SURGE",261
"48","FREEZING RAIN",260
"49","HEAT",256
"50","URBAN FLOOD",251
"51","HEAVY SURF HIGH SURF",228
"52","LAKE-EFFECT SNOW",224
"53","EXTREME WINDCHILL",204
"54","STRONG WINDS",204
"55","DRY MICROBURST",186
"56","COASTAL FLOODING",183
"57","COLD WIND CHILL",180
"58","LIGHT SNOW",176
"59","RIVER FLOOD",173
"60","RECORD WARMTH",154
"61","HURRICANE",146
"62","UNSEASONABLY WARM",126
"63","FLOODING",120
"64","DUST DEVIL",107
"65","ASTRONOMICAL HIGH TIDE",103
"66","MODERATE SNOWFALL",101
"67","URBAN FLOODING",99
"68","WINTRY MIX",94
"69","HURRICANE TYPHOON",88
"70","FUNNEL CLOUDS",87
"71","HEAVY SURF",87
"72","THUNDERSTORM WINDS HAIL",85
"73","COLD",82
"74","RECORD HEAT",82
"75","FREEZE",76
"76","HEAT WAVE",75
"77","RECORD COLD",67
"78","GUSTY WINDS",65
"79","ICE",61
"80","FROST",57
"81","UNSEASONABLY DRY",56
"82","ASTRONOMICAL LOW TIDE",54
"83","SMALL HAIL",53
"84","OTHER",52
"85","THUNDERSTORM WINDSS",51
"86","FUNNEL",46
"87","THUNDERSTORM",45
"88","GLAZE",43
"89","TEMPERATURE RECORD",43
"90","TROPICAL DEPRESSION",43
"91","STORM SURGE TIDE",41
"92","TSTM WIND (G45)",39
"93","MIXED PRECIPITATION",37
"94","WATERSPOUTS",37
"95","MONTHLY PRECIPITATION",36
"96","WINDS",36
"97","HEAVY SNOW SQUALLS",34
"98","SNOW AND ICE",34
"99","SLEET",33
"100","FLASH FLOODS",32
"101","ICY ROADS",32
"102","URBAN SMALL STREAM FLOOD",32
"103","WIND DAMAGE",31
"104","HAIL 75",29
"105","RIVER FLOODING",29
"106","HEAVY RAINS",26
"107","EXCESSIVE SNOW",25
"108","HEAVY LAKE SNOW",25
"109","TIDAL FLOODING",25
"110","FREEZING DRIZZLE",24
"111","GUSTY WIND",24
"112","LAKE EFFECT SNOW",23
"113","LIGHT FREEZING RAIN",23
"114","SEVERE THUNDERSTORMS",23
"115","UNSEASONABLY COLD",23
"116","VOLCANIC ASH",23
"117","EXTREME HEAT",22
"118","FLASH FLOOD FLOOD",22
"119","PROLONG COLD",22
"120","SNOW SQUALLS",22
"121","EXTREME WINDCHILL TEMPERATURES",19
"122","SNOW SQUALL",19
"123","TORNADO F0",19
"124","UNSEASONABLY WET",19
"125","HAIL 0.75",18
"126","WIND CHILL",18
"127","BLACK ICE",17
"128","BLOWING SNOW",17
"129","MUDSLIDE",17
"130","SNOW FREEZING RAIN",17
"131","SNOW ICE STORM",17
"132","FREEZING FOG",16
"133","RAIN",16
"134","RECORD TEMPERATURE",16
"135","SEICHE",16
"136","HEAVY SNOW-SQUALLS",15
"137","RECORD RAINFALL",14
